Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
feature_28,,***,9,0.0191,0.00e+00,0.00e+00,10.00,10.00,0.7880,1
feature_08,,***,17,0.0061,0.00e+00,0.00e+00,10.00,10.00,0.6537,2
feature_24,[T],***,10,0.0168,0.00e+00,0.00e+00,10.00,10.00,0.5560,3
feature_07,,***,11,0.0144,0.00e+00,0.00e+00,10.00,10.00,0.4293,4
feature_23,[T],***,21,0.0030,0.00e+00,0.00e+00,10.00,10.00,0.3338,5
feature_21,[T],***,18,0.0047,3.51e-14,1.75e-13,10.00,10.00,0.2677,6
feature_27,,***,4,0.0429,1.60e-11,6.84e-11,9.94,9.77,0.2231,7
feature_01,[T],***,2,0.0654,1.02e-08,3.83e-08,7.99,7.42,0.1414,8
feature_14,[T],***,27,0.0018,6.46e-08,2.15e-07,7.19,6.67,0.1289,9
feature_03,[T],***,19,0.0038,3.57e-06,1.07e-05,5.45,4.97,0.0833,10
feature_04,[T],***,14,0.0086,2.28e-04,6.22e-04,3.64,3.21,0.0463,11
feature_22,[T],***,26,0.0019,0.0029,0.0072,2.54,2.14,0.0300,12
feature_11,,,13,0.0115,0.3999,0.9229,0.40,0.03,0.0003,13
feature_30,,,8,0.0193,1.0000,1.0000,-0.00,-0.00,-0.0000,14
feature_29,,,28,0.0017,1.0000,1.0000,-0.00,-0.00,-0.0000,15
feature_15,,,23,0.0028,1.0000,1.0000,-0.00,-0.00,-0.0000,16
feature_09,,,20,0.0032,1.0000,1.0000,-0.00,-0.00,-0.0000,17
feature_12,,,25,0.0022,1.0000,1.0000,-0.00,-0.00,-0.0000,18
feature_18,,,22,0.0028,1.0000,1.0000,-0.00,-0.00,-0.0000,19
feature_20,,,24,0.0025,1.0000,1.0000,-0.00,-0.00,-0.0000,20
feature_16,,,6,0.0268,1.0000,1.0000,0.00,-0.00,-0.0000,21
feature_19,,,12,0.0140,1.0000,1.0000,0.00,-0.00,-0.0000,22
feature_05,,,5,0.0334,1.0000,1.0000,0.00,-0.00,-0.0000,23
feature_17,,,3,0.0556,1.0000,1.0000,0.00,-0.00,-0.0000,24
feature_10,,,16,0.0072,1.0000,1.0000,0.00,-0.00,-0.0000,25
feature_06,,,15,0.0077,0.9918,1.0000,0.00,-0.00,-0.0000,26
feature_02,,,7,0.0228,0.9755,1.0000,0.01,-0.00,-0.0000,27
feature_25,,,1,0.0788,0.6398,1.0000,0.19,-0.00,-0.0000,28
feature_26,,,29,0.0017,0.5357,1.0000,0.27,-0.00,-0.0000,29
feature_13,,,30,0.0013,0.6673,1.0000,0.18,-0.00,-0.0000,30
